sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
FEMENINO;COMERCIO;TIENDA;SANTA CRUZ;2;2.0;2016-04-04;4000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;POPULAR;2;1.0;2016-02-29;6500000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;COMIDAS RAPIDAS;DOCE DE OCTUBRE NO.1;2;6.0;2018-05-21;5000000.0;MICROEMPRESARIAL
MASCULINO;SERVICIO;BARES;SAN JAVIER NO.1;2;13.0;2018-07-16;5000000.0;MICROEMPRESARIAL
MASCULINO;INDUSTRIA;FABRICA DE;BUENOS AIRES;3;9.0;2018-03-06;7800000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;PELUQUERIA;PEDREGAL;3;6.0;2017-04-18;7000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;ALMACEN DE ROPA EN;ROBLEDO;2;7.0;2018-07-03;4000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;TIENDA;ROBLEDO;2;7.0;2018-09-05;5000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;PELUQUERIA;ROBLEDO;2;7.0;2018-05-03;6000000.0;MICROEMPRESARIAL
FEMENINO;AGROPECUARIA;CRIADERO DE ANIMALES;LA FLORESTA;2;12.0;2016-06-14;6890000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;ALMACEN DE ROPA EN;POPULAR;1;1.0;2018-10-18;7800000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;TIENDA;LA MILAGROSA;3;9.0;2018-02-20;5000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;RESTAURANTE;ENCISO;3;8.0;2017-03-09;7000000.0;MICROEMPRESARIAL
FEMENINO;SERVICIO;ORGANIZACIÓN Y;PEDREGAL;3;6.0;2017-10-12;7377000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE;EL SALVADOR;2;9.0;2017-06-06;7377000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE;MANRIQUE CENTRAL NO. 1;2;4.0;2018-04-27;3000000.0;MICROEMPRESARIAL
MASCULINO;SERVICIO;RESTAURANTE;BELEN;3;16.0;2017-04-03;7350000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;BUENOS AIRES;3;9.0;2017-06-20;1000000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;TIENDA;ARANJUEZ;1;4.0;2017-09-04;3000000.0;MICROEMPRESARIAL
FEMENINO;SERVICIO;PELUQUERIA;EL SALVADOR;2;60.0;2017-09-19;3000000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE;LA ESPERANZA;1;6.0;2018-04-12;3000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;PANADERIA;PLAYON DE LOS ;2;2.0;2016-11-22;6000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;ALMACEN DE ROPA EN;SANTA CRUZ;2;2.0;2017-02-21;6000000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;TIENDA;ROBLEDO;1;7.0;2017-12-18;5000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;COMIDAS RAPIDAS;ROBLEDO;3;7.0;2018-01-29;7800000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE;BARRIO CAICEDO;2;9.0;2017-03-16;5000000.0;MICROEMPRESARIAL
MASCULINO;SERVICIO;VARIEDADES;SANTO DOMINGO SAVIO ;1;1.0;2018-02-28;7000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;ARANJUEZ;2;4.0;2016-08-25;3000000.0;MICROEMPRESARIAL
MASCULINO;SERVICIO;COMIDAS RAPIDAS;ROBLEDO;2;7.0;2017-03-29;7377000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;TIENDA;POPULAR;2;1.0;2017-06-29;7300000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;ALMACEN DE ROPA EN;ROBLEDO;2;7.0;2017-03-09;6000000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;TIENDA;EL SALVADOR;3;9.0;2016-04-12;1000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;MISCELANEA;CENTRO ADMTIVO;1;10.0;2018-02-15;5000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;DOCE DE OCTUBRE NO.1;2;6.0;2017-03-02;3000000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;FABRICA DE;CENTRO ADMTIVO;2;10.0;2018-01-24;4500000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;FABRICA DE ALIMENTOS;CAMPO VALDES NO. 2;1;3.0;2017-11-24;3000000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;VARIEDADES;CAMPO VALDES NO. 1;3;4.0;2018-06-06;4000000.0;MICROEMPRESARIAL
FEMENINO;SERVICIO;FABRICA DE AREPAS;VILLA HERMOSA;3;8.0;2016-08-24;1050000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;CARPINTERIA;BELEN;3;16.0;2018-01-30;7800000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;CALASANZ;3;12.0;2018-05-16;3000000.0;MICROEMPRESARIAL
FEMENINO;SERVICIO;VARIEDADES;LAS PALMAS;2;10.0;2017-12-22;4400000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;TIENDA;GIRARDOT;3;5.0;2019-05-16;8200000.0;MICROEMPRESARIAL
MASCULINO;SERVICIO;DROGUERIA;CABECERA SAN CRISTOBAL;2;60.0;2018-07-12;7800000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE;MORAVIA;2;4.0;2018-06-01;7800000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;TIENDA;ENCISO;2;8.0;2017-04-18;7000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;ALMACEN DE ROPA EN;CABECERA SAN ANTONIO ;2;80.0;2017-02-09;7377000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;TIENDA DE HELADOS;SAN JAVIER NO.1;2;13.0;2017-09-27;30000000.0;EMPRESARIAL ED
FEMENINO;COMERCIO;ALMACEN DE ROPA EN;ANTONIO NARIÑO;2;13.0;2016-08-16;6890000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;PRODUCTOS DE MAR;SANTA CRUZ;2;2.0;2018-06-07;2500000.0;MICROEMPRESARIAL
FEMENINO;AGROPECUARIA;CRIADERO DE ANIMALES;CABECERA SAN ANTONIO ;2;80.0;2017-12-05;7300000.0;MICROEMPRESARIAL
MASCULINO;SERVICIO;CAFE E INTERNET;MORAVIA;3;4.0;2018-02-13;3000000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE;POPULAR;2;1.0;2018-08-24;7800000.0;MICROEMPRESARIAL
MASCULINO;INDUSTRIA;EBANISTARIA;MANRIQUE ORIENTAL;2;3.0;2016-12-06;6500000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;LAS PALMAS;2;8.0;2018-05-22;4400000.0;MICROEMPRESARIAL
MASCULINO;AGROPECUARIA;SEMBRADOS;SANTA ELENA CENTRAL;2;90.0;2017-07-26;10000000.0;AGROPECUARIA
FEMENINO;COMERCIO;VARIEDADES;ARANJUEZ;3;4.0;2018-02-02;36.0;MICROEMPRESARIAL
MASCULINO;INDUSTRIA;FABRICA DE CALZADO;EL SOCORRO;2;13.0;2017-12-12;7370000.0;MICROEMPRESARIAL
MASCULINO;INDUSTRIA;FABRICA DE;DOCE DE OCTUBRE NO.1;1;6.0;2016-07-27;6800000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;FABRICA DE HELADOS;MANRIQUE CENTRAL NO. 1;2;4.0;2016-10-04;6000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;MISCELANEA;LOPEZ DE MESA;3;7.0;2017-10-18;2000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;BARES;AURES NO. 2;2;7.0;2019-03-01;2500000.0;MICROEMPRESARIAL
MASCULINO;SERVICIO;VARIEDADES;POPULAR;2;1.0;2017-08-31;5000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;MISCELANEA;BUENOS AIRES;2;9.0;2017-01-24;7370000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;PAPELERIA;CABECERA SAN ANTONIO ;2;80.0;2018-12-11;2000000.0;MICROEMPRESARIAL
MASCULINO;SERVICIO;RESTAURANTE;CENTRO ADMTIVO;3;10.0;2017-11-08;4000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;CARNICERIA;ROBLEDO;3;7.0;2017-10-13;4000000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE;CASTILLA;2;5.0;2019-01-18;8200000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;COMIDAS RAPIDAS;SAN JOSE DE LA CIMA NO. ;1;3.0;2018-02-16;2000000.0;MICROEMPRESARIAL
FEMENINO;SERVICIO;COMIDAS RAPIDAS;PALERMO;1;4.0;2016-08-18;3500000.0;MICROEMPRESARIAL
MASCULINO;SERVICIO;TIENDA;13 DE NOVIEMBRE;1;8.0;2017-08-15;7200000.0;MICROEMPRESARIAL
FEMENINO;SERVICIO;MANTENIMIENTO EN;TEJELO;3;5.0;2017-04-03;7377000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE;DOCE DE OCTUBRE NO.1;1;6.0;2016-04-15;2000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;FRANCISCO ANTONIO ZEA;2;5.0;2018-02-09;781000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;TIENDA;PICACHO;1;6.0;2019-05-29;8200000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;ALMACEN DE ROPA EN;GIRARDOT;3;5.0;2017-02-23;3000000.0;MICROEMPRESARIAL
MASCULINO;INDUSTRIA;CARPINTERIA;MANRIQUE ORIENTAL;1;3.0;2016-12-16;6900000.0;MICROEMPRESARIAL
FEMENINO;SERVICIO;PELUQUERIA;BUENOS AIRES;3;9.0;2017-06-13;7377000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;EL SALVADOR;2;9.0;2017-10-27;6500000.0;MICROEMPRESARIAL
MASCULINO;SERVICIO;CAFETERIA;SANTA ELENA CENTRAL;2;90.0;2016-05-16;6000000.0;MICROEMPRESARIAL
MASCULINO;SERVICIO;BARBERIA;ROBLEDO;2;7.0;2018-05-08;6000000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;PELUQUERIA;BELEN;3;16.0;2018-06-08;7800000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE;LA LOMA ORIENTAL;2;60.0;2016-12-16;6890000.0;MICROEMPRESARIAL
MASCULINO;SERVICIO;BARBERIA;LA LOMA;1;60.0;2018-08-24;7800000.0;MICROEMPRESARIAL
FEMENINO;SERVICIO;CAFE E INTERNET;BUENOS AIRES;3;9.0;2016-12-05;6890000.0;MICROEMPRESARIAL
FEMENINO;SERVICIO;FABRICA DE;CASTILLA;3;5.0;2017-02-09;7377000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;VARIEDADES;BARRIO CAICEDO;2;9.0;2017-10-24;7300000.0;MICROEMPRESARIAL
MASCULINO;INDUSTRIA;FABRICA DE;MANRIQUE ORIENTAL;2;3.0;2018-06-18;4000000.0;MICROEMPRESARIAL
MASCULINO;SERVICIO;PELUQUERIA;ROBLEDO;2;7.0;2018-02-21;7000000.0;MICROEMPRESARIAL
FEMENINO;SERVICIO;COMIDAS RAPIDAS;FLORENCIA;3;5.0;2018-10-18;1500000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;COMIDAS RAPIDAS;ANDALUCIA;2;2.0;2018-06-21;5000000.0;MICROEMPRESARIAL
MASCULINO;SERVICIO;MANTENIMIENTO EN;ENCISO;3;8.0;2018-09-27;7800000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;COMIDAS RAPIDAS;DOCE DE OCTUBRE NO.1;2;6.0;2018-10-24;4000000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE;MANRIQUE CENTRAL NO. 2;2;3.0;2019-06-12;4500000.0;MICROEMPRESARIAL
MASCULINO;INDUSTRIA;FABRICA DE MUEBLES;CABECERA SAN CRISTOBAL;3;60.0;2018-10-26;7800000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;COMIDAS RAPIDAS;ARANJUEZ;3;4.0;2017-06-13;4000000.0;MICROEMPRESARIAL
MASCULINO;INDUSTRIA;FABRICA DE ALIMENTOS;ROBLEDO;3;7.0;2018-11-01;7800000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;TIENDA;ROBLEDO;2;7.0;2017-02-13;5000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;COMIDAS RAPIDAS;SAN JAVIER NO.1;1;13.0;2018-03-14;7800000.0;MICROEMPRESARIAL
FEMENINO;SERVICIO;CAFE E INTERNET;ROBLEDO;1;7.0;2016-06-24;6000000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE;MANRIQUE CENTRAL NO. 1;1;4.0;2018-11-13;2500000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;LEGUMBRERIA;MANRIQUE CENTRAL NO. 2;2;3.0;2016-04-14;6000000.0;MICROEMPRESARIAL
MASCULINO;SERVICIO;CAFE E INTERNET;BUENOS AIRES;3;9.0;2018-02-06;4000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;ROBLEDO;1;7.0;2018-08-24;7800000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE;LA FLORESTA;2;13.0;2018-12-21;5000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;CABECERA SAN ANTONIO ;2;80.0;2016-06-17;6800000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;PANADERIA;PEDREGAL ALTO;3;60.0;2017-12-04;7000000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;FERRETERIA;VILLA DEL SOCORRO;1;2.0;2018-02-15;7800000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;BUENOS AIRES;3;9.0;2018-08-01;1000000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE;LA LIBERTAD;2;8.0;2018-05-31;7800000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;EL CHAGUALO;3;10.0;2018-05-25;7800000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;MISCELANEA;POPULAR;1;1.0;2016-10-26;4000000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE AREPAS;SAN JAVIER NO.1;3;13.0;2016-06-15;6500000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE;ARANJUEZ;2;4.0;2018-03-22;3400000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;COMIDAS RAPIDAS;POPULAR;2;1.0;2017-11-22;4000000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;TIENDA;PICACHO;1;6.0;2018-05-04;7000000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE;CAMPO VALDES NO. 1;3;4.0;2019-01-25;5000000.0;MICROEMPRESARIAL
FEMENINO;SERVICIO;TIENDA;ENCISO;2;8.0;2017-04-25;5000000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE;SANTA CRUZ;2;2.0;2018-07-17;7800000.0;MICROEMPRESARIAL
MASCULINO;INDUSTRIA;FABRICA DE;TRINIDAD;3;15.0;2016-05-19;3000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;FABRICA DE AREPAS;BARRIO CAICEDO;2;9.0;2019-03-20;4000000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE;ROBLEDO;2;7.0;2018-08-17;5000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;EL POBLADO;3;14.0;2017-06-16;7000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;COMIDAS RAPIDAS;SANTA CRUZ;2;2.0;2018-12-03;6000000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;ALMACEN DE ROPA EN;SANTA CRUZ;2;2.0;2019-02-05;8000000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;CARPINTERIA;CABECERA SAN ANTONIO ;2;80.0;2016-09-15;6500000.0;MICROEMPRESARIAL
MASCULINO;SERVICIO;RECREATIVO EDUCATIVO;CABECERA SAN CRISTOBAL;3;60.0;2019-02-06;7800000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE;MANRIQUE CENTRAL NO. 1;2;4.0;2019-06-27;8281000.0;MICROEMPRESARIAL
MASCULINO;INDUSTRIA;FABRICA DE REPUESTOS;LA FLORESTA;2;12.0;2018-07-09;7800000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;TIENDA;LA FRANCIA;2;2.0;2019-04-08;6000000.0;MICROEMPRESARIAL
MASCULINO;SERVICIO;COMIDAS RAPIDAS;CASTILLA;2;5.0;2016-04-26;6890000.0;MICROEMPRESARIAL
